Question,Ground Truth,Base Model,Fine-Tuned
"Context:
Product: NUST Rice Finance (NRF)
Information: Minimum 50% of applicant’s sales to be documented through account turnover with bank(s).

Question: Any Account turnover requirement for NUST Rice Finance?

Answer the question using the context above.",Minimum 50% of applicant’s sales to be documented through account turnover with bank(s).,"Based on the provided information, there is no specific mention of any account turnover requirement for NUST Rice Finance. The only requirement mentioned is that 50% of the applicant's sales must be documented through account turnover with the bank(s).",Minimum 50% of applicant’s sales to be documented through bank(s).
"Context:
Product: NUST Auto Finance (NUST4Car)
Information: 8. Can I avail more than one vehicle through Auto loan facility?

Question: Minimum 30%  equity +(1st Year Insurance + documentation charges) is required as down payment

Answer the question using the context above.",8. Can I avail more than one vehicle through Auto loan facility?,"Based on the information provided, it appears that NUST Auto Finance (NUST4Car) has a requirement for a minimum down payment of 30% equity, plus additional costs such as the first year's insurance and documentation charges.

To answer your question directly: No, you cannot avail more than one vehicle through the Auto loan facility of NUST Bank's NUST4Car, as the down payment requirement is based on a single vehicle.",Minimum 30%  equity +(1st Year Insurance + documentation charges) is required as down payment
"Context:
Product: NUST Imarat Finance (NIF)
Information: Rs. 3,000/- per installment

Question: Are there any late payment charges?

Answer the question using the context above.","Rs. 3,000/- per installment","Based on the information provided, I couldn't find any specific details about late payment charges for NUST Imarat Finance (NIF). However, I can suggest that you please refer to the NUST Imarat Finance's terms and conditions or contact their customer service directly to get the most up-to-date and accurate information regarding late payment charges.","Rs. 3,000/- per installment"
"Regarding Home Remittance Services (HOME REMITTANCE), Can remittance be sent from anywhere to Pakistan?","Yes, remittance can be sent from around the globe to Pakistan through our agent Partners like Western Union, Mastercard, Dandelion Payments (RIA) etc.
For more information please go through the below link:
https://NUSTbank.com/services-home-remittance-our-partners/","According to NUST Bank's Home Remittance Services, remittances can be sent from anywhere to Pakistan through various channels. Here are some of the ways to send remittances:

1. **Branches**: Remittances can be sent through NUST Bank's branches located in Pakistan and abroad.
2. **ATMs**: Remittances can be sent using NUST Bank's ATMs located in Pakistan and abroad.
3. **Online Banking**: Remittances can be sent through NUST Bank's online banking platform, allowing customers to transfer funds from anywhere in the world.
4. **Mobile Banking**: Remittances can be sent using NUST Bank's mobile banking app, allowing customers to transfer funds on-the-go.
5. **Western Union**: NUST Bank has partnered with Western Union to allow customers to send remittances through Western Union locations worldwide.
6. **Money Transfer Services**: NUST Bank also partners with other money transfer services like MoneyGram and Xpress Money to facilitate remittances.

Please note that the specific channels and fees associated with each method may vary depending on the location and the amount being sent. It's always best to check with your nearest NUST Bank branch or the remittance service provider for the most up-to-date information.","Yes, remittance can be sent from any of the NUST domestic branches nationwide."
"Regarding Profit & Loss Sharing Account (PLS), What are the main features of NUST Profit & Loss Sharing (PLS) Account?","Profit Payment | Profit Rate
Offered in LCY (PKR) & FCY (USD, GBP, EUR, JPY & AED) | Semi-Annually | 0.19
Account opening deposit of Rs.100 for LCY, US $500 or equivalent for FCY | PLS Pensioners Account
Debit Card Issuance against LCY account | Profit Payment | Profit Rate
Profit Calculation- Monthly Average Balance | Semi-Annually | 0.1925
Profit Payment Frequency- Semi-Annually","Based on the documents I have access to, here are the main features of NUST Bank's Profit & Loss Sharing (PLS) Account:

1. **Definition**: A Profit & Loss Sharing (PLS) Account is a type of account that allows the bank to share the profits or losses with its customers in a specific ratio, as agreed upon in the account agreement.

2. **Eligibility**: The PLS account is available to individuals, businesses, and organizations that meet the bank's eligibility criteria.

3. **Features**:
   - **Profit Sharing**: The bank shares a portion of its profits with the account holder in the agreed-upon ratio.
   - **Loss Sharing**: In case of losses, the bank absorbs the losses and the account holder is not liable for the losses.
   - **Flexibility**: The account holder can choose the profit-sharing ratio and the frequency of profit distribution.
   - **Tax Benefits**: The profit-sharing amount is taxable in the hands of the account holder.
   - **Minimum Balance Requirement**: There is no minimum balance requirement for the PLS account.
   - **Interest Rate**: The interest rate on the PLS account is competitive with other savings accounts offered by the bank.
   - **Account Management**: The account can be managed online, through mobile banking, or through the bank's branch network.

4. **Benefits**:
   - **Increased Liquidity**: The PLS account provides easy access to funds, allowing account holders to meet their financial obligations.
   - **Financial Security**: The account holder is protected against bank failures and insolvency.
   - **Tax Benefits**: The profit-sharing amount is taxable, which can help reduce the account holder's taxable income.

5. **Application Process**: To open a PLS account, the account holder needs to submit an application form, provide required documents, and meet the eligibility criteria.

Please note that these features and benefits are based on the documents I have access to, and may be subject to change. It's always best to consult with a bank representative or a financial advisor for the most up-to-date and accurate information.","- Monthly Profit Payment
- Profit calculation on Monthly Average Balance"
"Regarding NUST Sahar Finance (NSF), Is there any minimum business age requirement?","Existing Business Should be women owned enterprises with Minimum 01 year of business registration
New Business: Nil","I don't have the most current information on NUST Sahar Finance's (NSF) specific requirements. However, I can suggest some possible sources where you may be able to find the information you're looking for:

1. NUST Sahar Finance's official website: You can visit the official website of NUST Sahar Finance to check for their current business requirements, including minimum age requirements.
2. NUST Sahar Finance's customer service: You can contact NUST Sahar Finance's customer service department directly to inquire about their business requirements, including minimum age requirements.
3. NUST Sahar Finance's regulatory documents: You can also check NUST Sahar Finance's regulatory documents, such as their license and registration documents, to see if they provide information on minimum age requirements.

If you're unable to find the information you're looking for, I can suggest some general information on business registration requirements in Pakistan. In Pakistan, the minimum age requirement for starting a business varies depending on the type of business and the regulatory requirements of the relevant authorities. However, in general, most businesses in Pakistan require the following:

* For a sole proprietorship, there is no minimum age requirement, but the owner must be a Pakistani citizen or a non-citizen with a valid visa.
* For a private limited company, the minimum age requirement is 21 years for the director, and 18 years for the company secretary.
* For a partnership firm, the minimum age requirement is 18 years for all partners.

Please note that these are general guidelines and may not apply to NUST Sahar Finance's specific requirements. I recommend verifying the information with the relevant authorities or NUST Sahar Finance directly for the most accurate and up-to-date information.","New Business
Between 20-50 years at the time of application | Existing Business
Between 20-65 years at the time of application"
"Regarding NUST Flour Mill Finance (NFMF), What is the maximum tenure of NUST Flour Mill Finance?",Maximum 1 year as per clean-up corridors,I am unable to verify the maximum tenure of NUST Flour Mill Finance (NFMF).,"Cash Finance
Max 3 years (inclusive of grace period of 6 months)
Running Finance
Max 5 years (inclusive of grace period of 6 months)"
"Regarding NUST Sahar Finance (NSF), What is the applicant legal structure of business in order to avail NUST Sahar Finance?","Sole Proprietor, Partnership Firm, Private Limited Company, Single Member Company (SMC), Business Individuals (Women Owned)
*In Partnership firm/ Private Limited Company, having 02 partners or directors, minimum 51% shareholder/ CEO should be a a femle who should also be the applicant. If there are more than 02 partners or directors, major share holder should be women , who should also be CEO and applicant","I don't have the most current information on the specific legal structure required to apply for NUST Sahar Finance. However, I can suggest some general information based on the available documents.

According to the NUST Sahar Finance website and other publicly available sources, NUST Sahar Finance is a microfinance institution that provides financial services to low-income households and small entrepreneurs in Bangladesh.

To apply for NUST Sahar Finance, the applicant typically needs to meet certain eligibility criteria and provide required documents. However, I couldn't find specific information on the legal structure required to apply for NUST Sahar Finance.

For the most accurate and up-to-date information, I recommend visiting the official NUST Sahar Finance website or contacting their customer service directly. They can provide you with the most current information on the required documents and legal structure for applying to NUST Sahar Finance.

Additionally, you can also check the Bangladesh Bank's website, which regulates microfinance institutions in Bangladesh, for information on the requirements for microfinance institutions and their clients.

Please note that the information I provide is based on available data up to 2023, and it's always best to verify with the relevant authorities or the institution itself for the most current information.","SE/ME Financing
Proprietorship, Partnership, Private Limited Company, Single Member Company, Limited Liability Partnership (LLP), Business Individuals (in case of women owned businesses)"
"Regarding NUST Fauri Business Finance (NFBF), What are the service/documentation/legal charges in Ask Fauri Business Finance?",At actual,"I don't have the most current information on the specific service and documentation/legal charges for NUST Fauri Business Finance (NFBF). However, I can guide you on how to find this information.

To get the most accurate and up-to-date information on service and documentation/legal charges for NFBF, I recommend the following options:

1. **Visit the NUST Fauri Business Finance website**: You can check the official website of NUST Fauri Business Finance for the most current information on their services, fees, and documentation requirements.
2. **Contact NUST Fauri Business Finance directly**: Reach out to NUST Fauri Business Finance's customer service department or visit a branch in person to inquire about their service and documentation/legal charges.
3. **Check the NUST Fauri Business Finance brochure or prospectus**: If you have a physical copy of the brochure or prospectus, it may contain information on their services, fees, and documentation requirements.
4. **Contact a NUST Fauri Business Finance representative**: You can also contact a representative from NUST Fauri Business Finance through their customer service number or email to ask about their service and documentation/legal charges.

Please note that fees and charges may vary depending on the specific services used and the type of account or loan. It's always best to verify the information with the bank directly for the most accurate and up-to-date information.",At actual
"Regarding Value Plus Current Account (VPCA), What is the opening and minimum balance requirement for VPCA?","- No Opening Balance Requirements
- No Minimum Monthly Average Balance Requirements
- Allocation of Lockers (upon availability)**","I don't have the most current information on the specific requirements for the Value Plus Current Account (VPCA) at NUST Bank. For the most accurate and up-to-date information, I recommend contacting NUST Bank directly or visiting their official website. They will be able to provide you with the most current details on the opening and minimum balance requirements for the VPCA.","No initial deposit requirement
No minimum balance requirement"
"Regarding Value Plus Premium Business Account (VPBA), Private & Public Limited Companies","Corporate & Commercial Organizations
NGOs / NPOs / Trust/ Charitable Organizations","I can provide information on the Value Plus Premium Business Account (VPBA) for Private & Public Limited Companies based on the available documents.

**Value Plus Premium Business Account (VPBA) Overview:**

The Value Plus Premium Business Account (VPBA) is a specialized business account designed for Private and Public Limited Companies in Pakistan. This account is designed to provide a comprehensive suite of banking services tailored to the specific needs of corporate clients.

**Key Features of VPBA:**

1. **Higher Transaction Limit**: VPBA offers higher transaction limits, allowing businesses to manage their cash flow more efficiently.
2. **Priority Banking Services**: VPBA customers enjoy priority banking services, including dedicated customer support, priority ATM access, and expedited loan processing.
3. **Comprehensive Reporting**: VPBA provides detailed financial reporting, including statement of account, cash flow statement, and balance sheet.
4. **Tax Benefits**: VPBA offers tax benefits, including exemption from withholding tax on interest income and tax deduction at source on interest payments.
5. **Foreign Exchange Services**: VPBA customers can avail of foreign exchange services, including remittances and foreign currency accounts.
6. **Corporate Governance**: VPBA is designed to support corporate governance, with features such as board resolution management and share transfer services.
7. **Digital Banking**: VPBA customers can enjoy digital banking services, including online banking, mobile banking, and ATM card facilities.

**Eligibility Criteria:**

To be eligible for VPBA, a company must meet the following criteria:

1. **Company Type**: The company must be a Private or Public Limited Company registered with the Securities and Exchange Commission of Pakistan (SECP).
2. **Minimum Paid-up Capital**: The company must have a minimum paid-up capital of PKR 50 million.
3. **Business Activities**: The company must be engaged in legitimate business activities and not be involved in any prohibited or restricted activities.

**Application Process:**

To apply for VPBA, the company must submit the following documents:

1. **Company Documents**: Copy of the company's registration certificate, business registration certificate, and tax registration certificate.
2. **Identification Documents**: Copy of the company's CEO/Managing Director's CNIC and passport.
3. **Proof of Paid-up Capital**: Copy of the company's balance sheet and profit and loss statement.
4. **Business Plan**: A detailed business plan outlining the company's objectives, strategies, and financial projections.

Please note that the application process and required",- No Minimum Monthly average balance requirement
"Context:
Product: PakWatan Remittance Account (PWRA)
Information: Yes PakWatan Remittance Account.
Through the PakWatan Remittance Account, beneficiaries can quickly and securely receive remittances from their loved one living abroad directly into their bank account without visiting the branch.

Question: Is there any account NUST Bank is offering for remittance purposes ?

Answer the question using the context above.","Yes PakWatan Remittance Account.
Through the PakWatan Remittance Account, beneficiaries can quickly and securely receive remittances from their loved one living abroad directly into their bank account without visiting the branch.","Yes, NUST Bank is offering the PakWatan Remittance Account (PWRA) for remittance purposes.","Yes PakWatan Remittance Account.
Through the PakWatan Remittance Account, beneficiaries can quickly and securely receive remittances from their loved one living abroad directly into their bank account without visiting the branch."
"Regarding NUST Special Deposit Account (NSDA), What are the free services available with ASDA?","Free E-statement & I-Net Banking
Free Inter Branch Online Cash Deposit/Withdrawal (Online)
Free Internal Fund Transfer within NUST via branch (Online Transfer)
Free Banker’s Cheque Issuance
Free SMS Alerts on Digital Transaction",I am unable to verify the services available with NUST Special Deposit Account (NSDA).,"- First Cheque Book of 25 Leaves*
- NUST Visa Debit Card Issuance* (annual and replacement fee would apply)
- 50% Discount on first year Locker Rental (if locker available)
- SMS alerts on digital transactions
- I-Net and Internet Banking
. Internal Fund Transfer within NUST via branch (Online Transfer)
. Inter Branch Online Cash Withdrawal/ Deposit (Online)
- E-statement Facility
- I-Net Banking
- E-Document Management
- Debit Card Issuance* (annual and replacement fee would apply)"
"Regarding NUST Ujala Finance (NUF), For which purposes NUST Ujala Finance is being offered?","SME, NUST Employees and Domestic: Energy generation for own use or for supply to the distribution company / NEPRA | Vendors/Suppliers: Onward leasing of renewable energy equipment / deferred payment sales / rental basis or sale of electricity to ultimate users",I am unable to verify the specific purposes for which NUST Ujala Finance (NUF) is being offered.,"i. To meet energy needs of rural areas by financing installation of solar energy equipment / renewable energy generators / solar water pumps etc.
ii. To provide electricity supply to rural areas / households / businesses through alternative sources of energy like solar energy.
iii. To meet domestic and industrial energy needs of rural areas through renewable energy sources like solar energy."
"Regarding NUST Freelancer Digital Account (NFDA), What is the Target Market?",Individuals running a freelance service business,"Based on the available information, the target market for NUST Freelancer Digital Account (NFDA) is not explicitly stated in the provided documents. However, I can provide some general insights based on the context.

The NUST Freelancer Digital Account (NFDA) is a digital banking product offered by NUST Bank, which is a private sector bank in Pakistan. The NFDA is designed for freelancers, entrepreneurs, and small business owners who require a digital banking solution to manage their financial transactions.

Based on this, the target market for NFDA can be inferred as:

1. Freelancers: Individuals who work on a project-by-project basis and require a digital banking solution to manage their income and expenses.
2. Entrepreneurs: Small business owners who need a digital banking solution to manage their business finances, including accounts, payments, and transactions.
3. Micro, Small, and Medium Enterprises (MSMEs): These businesses often require a digital banking solution to manage their financial transactions, accounts, and cash flow.

In terms of demographics, the target market for NFDA may include:

1. Age: 18-45 years old
2. Income: Middle to upper-middle-class individuals and small business owners
3. Education: High school to graduate level
4. Location: Urban and semi-urban areas in Pakistan

Please note that these are general assumptions based on the available information, and the actual target market may vary depending on the specific requirements and goals of NUST Bank.","NUST Freelancer Digital Account is specially designed for Freelancers, so that they can receive their payments directly in a bank account and enjoy other lifestyle banking services as well."
"Context:
Product: NUST Fauri Business Finance (NFBF)
Information: Flat @ Rs. 3,000/- (at the time of initiating and on each renewal)

Question: What are the processing charges for Ask Fauri Finance Application?

Answer the question using the context above.","Flat @ Rs. 3,000/- (at the time of initiating and on each renewal)","I don't have the specific information on the processing charges for the Ask Fauri Finance Application. However, I can suggest that you refer to the NUST Fauri Business Finance (NFBF) product document or contact NUST Bank's customer service for the most up-to-date and accurate information on the processing charges.","Flat @ Rs. 3,000/- (at the time of initiating and on each renewal)"
"Context:
Product: NUST Sahar Account (NSA)
Information: - First Debit Card Issuance*
- SMS Alerts on Digital Transactions
- I-Net Banking
. Internal Fund Transfer within NUST via branch (Online Transfer)
. Inter Branch Online Cash Withdrawal/ Deposit (Online)
- E-statement Facility
- Debit card and Cheque book delivery at customer address & activation via Contact Centre

Question: What are the free services offered on NUST Sahar Savings Account?

Answer the question using the context above.","- First Debit Card Issuance*
- SMS Alerts on Digital Transactions
- I-Net Banking
. Internal Fund Transfer within NUST via branch (Online Transfer)
. Inter Branch Online Cash Withdrawal/ Deposit (Online)
- E-statement Facility
- Debit card and Cheque book delivery at customer address & activation via Contact Centre","Based on the provided information, the free services offered on NUST Sahar Savings Account are:

1. E-statement Facility
2. SMS Alerts on Digital Transactions","- First Debit Card Issuance*
- SMS Alerts on Digital Transactions
- I-Net Banking
. Internal Fund Transfer within NUST via branch (Online Transfer)
. Inter Branch Online Cash Withdrawal/ Deposit (Online)
- E-statement Facility
- Debit card and Cheque book delivery at customer address & activation via Contact Centre"
"Context:
Product: NUST Asaan Account (NAA)
Information: Resident Pakistani individuals who do not maintain/have any other account (single or joint) in NUST Bank Limited are eligible to open the NAA in Pak rupees as a single/joint account.

Question: What is the Eligibility Criteria for NAA?

Answer the question using the context above.",Resident Pakistani individuals who do not maintain/have any other account (single or joint) in NUST Bank Limited are eligible to open the NAA in Pak rupees as a single/joint account.,"According to the information provided, the eligibility criteria for NUST Asaan Account (NAA) are:

Resident Pakistani individuals who do not maintain/have any other account (single or joint) in NUST Bank Limited are eligible to open the NAA in Pak rupees as a single/joint account.",Resident Pakistani individuals who do not maintain/have any other account (single or joint) in NUST Bank Limited are eligible to open the NAA in Pak rupees as a single/joint account.
"Context:
Product: NUST Personal Finance (PF)
Information: No, the availability of applicants & their employers is mandatory within Pakistan for applying clean Personal Finance.

Question: Can overseas Pakistanis obtain Personal Finance facility from NUST?

Answer the question using the context above.","No, the availability of applicants & their employers is mandatory within Pakistan for applying clean Personal Finance.","Based on the information provided, it appears that NUST Personal Finance (PF) has specific requirements for applicants, including the need for verification of applicants' and their employers' availability in Pakistan. 

Unfortunately, it seems that NUST Personal Finance may not be available to overseas Pakistanis, as the information provided does not mention any provisions for individuals living abroad. The requirement for applicants and their employers to be in Pakistan suggests that the product is primarily designed for individuals with a physical presence in Pakistan.","No, the availability of applicants & their employers is mandatory within Pakistan for applying clean Personal Finance."
"Regarding Home Remittance Services (HOME REMITTANCE), In which currency will I receive my remittance?",All home remittance payments are disbursed in Pak Rupees.,"According to NUST Bank's Home Remittance Services, you will receive your remittance in the currency of the recipient's country of residence.",Remittances can be received in PKR or USD. You can choose to receive your remittance in either of these two currencies when you register for the first time. Subsequent receipts will be in PKR.
"Context:
Product: Home Remittance Services (HOME REMITTANCE)
Information: You can receive your home remittance from any of NUST 600+ domestic branches nationwide if you have a valid CNIC and Transaction Unique Reference No. / Pin code.

Question: Can I receive remittance in Pakistan if I do not have a bank account with any bank?

Answer the question using the context above.",You can receive your home remittance from any of NUST 600+ domestic branches nationwide if you have a valid CNIC and Transaction Unique Reference No. / Pin code.,"No, you cannot receive remittance in Pakistan if you do not have a bank account with any bank. According to the information provided, you can receive your home remittance from any of NUST 600+ domestic branches nationwide if you have a valid CNIC and Transaction Unique Reference No. / Pin code, but this implies that you need to have a bank account to receive the remittance.",You can receive your home remittance from any of NUST 600+ domestic branches nationwide if you have a valid CNIC and Transaction Unique Reference No. / Pin code.
"Regarding Prime Minister Youth Business & Agriculture Loan Scheme (PMYB &ALS), Is there any quota for womens?",25% of the loans will go to women borrowers,"According to the NUST Bank's documentation, the Prime Minister Youth Business & Agriculture Loan Scheme (PMYB&ALS) does provide a quota for women.

The scheme offers a 10% quota for women, which means that 10% of the total loan amount allocated under the scheme is reserved for female applicants.

This quota is designed to support women entrepreneurs and farmers in Pakistan, providing them with access to financial resources and opportunities to establish or expand their businesses and agricultural projects.

If you're a woman interested in applying for the PMYB&ALS, I recommend checking with your local NUST Bank branch for more information on the eligibility criteria, loan amount, and other requirements.","Tier 2
10% of the total loan amount to be allocated to women borrowers"
"Regarding NUST Special Deposit Account (NSDA), What is the minimum balance requirement of NUST Special Deposit Account?","NUST Special Deposit Account (ASDA)
No Minimum Monthly Average Balance Requirement | Profit Payment | Profit Rate
No Minimum Opening Balance Requirement | Monthly/Semi-Annually | 0.19","I don't have the most current information on the minimum balance requirement for the NUST Special Deposit Account. For the most accurate and up-to-date information, I recommend visiting the official NUST Bank website or contacting their customer service directly. They will be able to provide you with the most current details on their products and services.","Minimum account opening deposit of Rs. 100,000
No minimum balance requirement for account maintenance"
